song_title,artist,track_id
Something Big,Shawn Mendes,47owxYjLWt54HjOIu0m4a9
Venom - Music From The Motion Picture,Eminem,7MnIQGZkVnlMaGzN4T625B
Till I Collapse,Eminem,3zEN0ii6s4DHHBpnTp3RP7
Worlds Collide,League of Legends,2JyySxEyzxzOHtBNCLelvA
Renegades,X Ambassadors,3K00Ib1shkOEiAXU5pec6e
Unsteady,X Ambassadors,7lGKEWMXVWWTt3X71Bv44I
Fire,Gavin DeGraw,1w0qg01gZLzPPH5R0cTCuW
Yellow,Coldplay,2QG03lDmMcA5rwSSbFTzR5
Paradise,Coldplay,2q7jpVfCtcuRwcur9nQeuC
Treat You Better,Shawn Mendes,2Zej1ZTJJNDcRj8e8iWUUo
Something Just Like This,The Chainsmokers,2PnlsTsOTLE5jnBnNe2K0A
Magic,Coldplay,4cVUwET6QBkiWUdGVNSYPt
The Days,Avicii,0ct6r3EGTcMLPtrXHDvVjc
Every Teardrop Is a Waterfall,Coldplay,2U8g9wVcUu9wsg6i7sFSv8
Charlie Brown,Coldplay,1u0LrLPnIfVeHOzFfye3Lf
Undone,FFH,1YjfbNhL8OVla61lTW0Cy9
Demons,Imagine Dragons,7xDd7gl6AGgpiOz5trz4dM
On Top Of The World,Imagine Dragons,7uXdP0MhoLpwuQIgNimMhc
Geronimo,Sheppard,0qt5f5EL92o8Snzopsv0en
Fix You,Coldplay,4cVUwET6QBkiWUdGVNSYPt
Counting Stars,OneRepublic,331l3xABO0HMr1Kkyh2LZq
To Get to You,Mercy Sisters,2p9sprAX27D6U5cuSE9NsM
Wake Me Up,Avicii,0nrRP2bk19rLc0orkWPQk2
Rude,MAGIC!,0zdsx6u5Q9iPcOri02KIBs
Waiting for Superman,Daughtry,2A1aS3mwuGuX2yk1bgxOvA
The Nights,Avicii,0ct6r3EGTcMLPtrXHDvVjc
Wake Me Up,Radio Tyrant,2mhlinCvTn89rt3D6Spy7W
We Are Young (feat. Janelle Monáe),fun.,7a86XRg84qjasly9f6bPSD
Me And My Broken Heart,Rixton,42UBPzRMh5yyz0EDPr6fr1
Timber,Pitbull,0wbDgMuAoy7O7pL3a69uZx
Countin Stars,Fuelled Dancefloor,0FCoVsl4qQzJZAUw8LIIrs
Gol,Cali Y El Dandee,0mGvaKpwLYoybnIoboC3uS
The Scientist,Coldplay,01pVPWAb4JU8bEGl52bjZg
Secrets,OneRepublic,331l3xABO0HMr1Kkyh2LZq
Start a Fire,Ryan Star,0JiY190vktuhSGN6aqJdrt
Let Her Go,Passenger,0FIDCNYYjNvPVimz5icugS
Some Nights,fun.,5FuXp7RCxwGJQrshRc6ZL2
Hey Brother,Avicii,0ct6r3EGTcMLPtrXHDvVjc
If I Lose Myself,OneRepublic,5ITV0zqzjOYfFWpW0xBmRa
Invincible,Deaf Kev,5KcKUpTEHMfcoAps9d5BvY
What Makes You Beautiful,One Direction,2jEPoksVcGnMbb5Wg5q26b
"Gone, Gone, Gone",Phillip Phillips,5HEnfAa0K1ajHfz5zHw87u
Home - Phillip Phillips Tribute,Settle Down,15WQjXXL49e7dT8p0EoRiP
Heathens,Twenty One Pilots,5JIBkB25GtM0j2DcO15Ww0
Paris,The Chainsmokers,5ZUIPLoTLJZrPQh2kFZEUM
Centuries,Fall Out Boy,7ne4VBA60CxGM75vw0EYad
Kun Anta,Humood AlKhudher,5VxcBPIkXU9mPaDY4rhiFh
Superheroes,The Script,61Jbc8ryoXMSVc1DO8e3sV
Whatever It Takes,Imagine Dragons,2GvypzEHZkSgbix6ul7eZi
Heart & Soul (feat. Skybourne),Built By Titan,0rnopyFFulb7LWz1LiWUQH
This Is War,Thirty Seconds To Mars,2fTsFCKRFQ5M0igJgabnLA
Bad (feat. Vassy) - Radio Edit,David Guetta,2JZe7x06MKlMAOaghZiBnb
Sorry,Justin Bieber,2MLIRLTx41VStC8Z5NJEG6
Something Just Like This,The Chainsmokers,2PnlsTsOTLE5jnBnNe2K0A
Venom - Music From The Motion Picture,Eminem,7MnIQGZkVnlMaGzN4T625B
Raging Fire,Phillip Phillips,2XUnXVNsouBHJNJjrVPrfv
Miracles,Coldplay,1YsU8rW2u8z4F0pwOBQ4Ea
Thunderstruck,AC/DC,1ltAjwVw2GtHxFDdnhCDg8
Born to Live,About A Mile,7502Mt2v4SJXtrXj0PjvOK
Bad Liar,Imagine Dragons,1nmZ8yqKkfooOuYvtFctDp
Blinding Lights,The Weeknd,4sFBE5VDo5Dz41Uha1gf4D
Shower,Tory Knight,1aOYUut6NFylu2ZkmJLlrG
Firestone,Kygo,0LMwmV37RCmBO2so0szAFs
Pirates of Caribbean - Ian Moi Remix,Moi Fox Project,2zN7mAgONOuDti3Vyb77wY
Animals - Original Mix,Martin Garrix,1uOBgCSyFH0DFa4r5tDZhn
My Everything,Owl City,4SXUbnaYt80pFpAebHVR5Q
Carnival of Rust,Poets of the Fall,2UU2WI5Wy0BBEBUoihBzaJ
Sweet Child O' Mine,Guns N' Roses,7tFVofWB4oShSo7lK1Iki8
Don't Wake Me Up - Single Version,Dont Wake Me Up,2wzZPBRZZ1klDJJVc1kv6z
Finale (feat. Nicholas Petricca),Madeon,0DanGj9TtgZIjJnHdTbW9v
Highway to Hell,AC/DC,4x7j9ed3FRH6CHj27kiTQ3
What Are You Waiting For?,Nickelback,3k2NjPZsPrvWL55MVcqm4o
Lose Yourself,Eminem,1v7L65Lzy0j0vdpRjJewt1
Mockingbird,Eminem,561jH07mF1jHuk7KlaeF0s
Go Go Go Go! - Ti-Mo Remix Edit,89ers,2TG1xOgMf29yt71KKEccRN
Remember The Name (feat. Eminem & 50 Cent),Ed Sheeran,0AtP8EkGPn6SwxKDaUuXec
Love The Way You Lie,Eminem,78nx0HDJIFD5xDq2L5420Z
M.I.A. (feat. Boomdabash),Fedez,7MfBglBQjc85votOdZg9Td
Not Afraid,Eminem,7lQ8MOhq6IN2w8EYcFNSUk
In the End,Linkin Park,1IMa0Il4w988MwZCUcISix
Just A Dream,Kurt Hugo Schneider,0xUvi7wldroBzaZCengPa5
Numb,Linkin Park,373gDROnujxNTFa1FojYIl
Faint,Linkin Park,2PnlsTsOTLE5jnBnNe2K0A
Best Of 2014 Pop Mashup,Go Stereo,0p1RAVW7mwV3bp6Tr2Se1Y
Crawling,Linkin Park,373gDROnujxNTFa1FojYIl
Somewhere I Belong,Linkin Park,6hYPKPe5I3aVJSlTYwGbDU
We Don't Run,Bon Jovi,5ITV0zqzjOYfFWpW0xBmRa
Waiting For Love,Avicii,2A1aS3mwuGuX2yk1bgxOvA
Glad You Came (The Sun Goes Down the Stars Come Out),The Worst Cover Band Of The World,6xSzZ2CqIjpP78L3osGClx
LOST IN THE ECHO,Linkin Park,1fDsrQ23eTAVFElUMaf38X
BURN IT DOWN,Linkin Park,74tLlkN3rgVzRqQJgPfink
Awake and Alive,Skillet,0GRc3eGTg8HBdWLRGYgqIc
CASTLE OF GLASS,Linkin Park,4ZMkvjr7y8M9Jv3lN87lff
New Divide,Linkin Park,6gQAyT7B7cYGTRBOiFdQUS
Until It's Gone,Linkin Park,0mEdbdeRFQwBhN4xfyIeUM
Breaking the Habit,Linkin Park,5w0HXnVCQlqe8UFY3Mbgbs
Del Estadio Al Cielo,Morat,1ro2R1fewLh2IQaR9pWF5T
Pushing Me Away,Linkin Park,1QJXSDGoo4VnidjBvLjQqw
With You,Linkin Park,0k2GOhqsrxDTAbFFSdNJjT
Points of Authority,Linkin Park,7I3RalBqE7ZE0RSxgGlGlm
